date_time,location,classprice
Tue 6/4/2019 at 8:00 AM,Lifesaver Education,$195.00
Sun 6/23/2019 at 3:30 PM,Lifesaver Education,$225.00
Tue 6/4/2019 at 5:30 PM,Lifesaver Education,$225.00
Sat 6/15/2019 at 8:00 AM,Lifesaver Education,$150.00
Wed 7/24/2019 at 8:00 AM,Lifesaver Education,$195.00
Sun 7/21/2019 at 8:00 AM,Lifesaver Education,$150.00
Tue 7/30/2019 at 9:00 AM,Lifesaver Education,$150.00
Sat 7/13/2019 at 8:00 AM,Lifesaver Education,$150.00
Wed 6/5/2019 at 9:00 AM,Lifesaver Education,$150.00
Fri 6/28/2019 at 9:00 AM,Lifesaver Education,$150.00
Mon 7/15/2019 at 8:00 AM,Lifesaver Education,$195.00
Thu 7/11/2019 at 8:00 AM,Lifesaver Education,$195.00
Call to schedule,Call to schedule,$225.00
Thu 6/27/2019 at 8:00 AM,Lifesaver Education,$195.00
Thu 6/13/2019 at 8:00 AM,Lifesaver Education,$195.00
Tue 10/15/2019 at 8:00 AM,Lifesaver Education,$195.00
